LanguageHaveWorkedWith,ConvertedCompYearly,YearsCode,ResponseId,,,ExperienceGroup,N Python,N JS/Java,Mean Python,Mean JS/Java,MeanDiff J minus Py,%Diff J vs Py,T Stat Welch,P Value Two Tailed
C#;Elixir;Erlang;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),135000,25,30603,,,,,,,,,,,
Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript,110000,3,30611,,,,,,,,,,,
JavaScript;Python;Ruby;SQL,220000,13,30613,,,,,,,,,,,
C;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,100000,12,30615,,,,,,,,,,,
C#;Java;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript,140000,30,30617,,,,,,,,,,,
HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,215000,22,30648,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,95000,7,30659,,,,,,,,,,,
C++;HTML/CSS;JavaScript;MicroPython;Python,60000,14,30663,,,,,,,,,,,
HTML/CSS;JavaScript;Python;SQL,260000,20,30714,,,,,,,,,,,
Go;HTML/CSS;JavaScript;Kotlin;Python;SQL;TypeScript,190000,10,31254,,,,,,,,,,,
Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Lua;Python,403000,20,31375,,,,,,,,,,,
HTML/CSS;JavaScript;PowerShell;R;SQL,136800,19,31409,,,,,,,,,,,
C#;JavaScript;Python;TypeScript,135000,10,31440,,,,,,,,,,,
HTML/CSS;JavaScript;PHP;SQL;TypeScript,95000,26,31453,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Lua;Rust;SQL;TypeScript,106000,9,31471,,,,,,,,,,,
Bash/Shell (all shells);C;C++;JavaScript;Lua;PowerShell;Python;Swift;TypeScript,150000,24,31475,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;Python;Rust;SQL;VBA,125000,6,31561,,,,,,,,,,,
JavaScript;Ruby;SQL,125000,8,31566,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,170000,17,31569,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,60000,4,31583,,,,,,,,,,,
C#;F#;JavaScript;Python;SQL;TypeScript,125000,5,31590,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Visual Basic (.Net),123000,9,31612,,,,,,,,,,,
HTML/CSS;JavaScript;PowerShell;Python;SQL;Swift;TypeScript;Zig,185000,15,31613,,,,,,,,,,,
COBOL;Groovy;HTML/CSS;Java;JavaScript;Kotlin;OCaml;PowerShell;TypeScript,148000,10,31621,,,,,,,,,,,
HTML/CSS;JavaScript;TypeScript,140000,15,31628,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL,80000,10,31640,,,,,,,,,,,
C#;HTML/CSS;JavaScript;Lua;Python;SQL;TypeScript,160000,7,31665,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;TypeScript,100000,4,31687,,,,,,,,,,,
C#;HTML/CSS;JavaScript;Rust;SQL;Visual Basic (.Net),120000,19,31710,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;Ruby;Swift;TypeScript;VBA,224000,17,31733,,,,,,,,,,,
C#;JavaScript;SQL;TypeScript,170000,15,31740,,,,,,,,,,,
C;C#;Go;JavaScript;MicroPython;Python;TypeScript,215000,30,31751,,,,,,,,,,,
Bash/Shell (all shells);C#;Dart;GDScript;Java;JavaScript;Kotlin;PowerShell;Python;Swift;TypeScript,100900,17,31788,,,,,,,,,,,
Bash/Shell (all shells);C#;Dart;Go;HTML/CSS;JavaScript;Python;TypeScript,180000,20,31800,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Rust;SQL;TypeScript,163000,16,31812,,,,,,,,,,,
JavaScript;Lua;Python;SQL;TypeScript,90000,11,31823,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,233000,18,31848,,,,,,,,,,,
Bash/Shell (all shells);COBOL;Java;Kotlin;OCaml;Python,120000,20,31857,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PHP;SQL,135000,13,31863,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;TypeScript,170000,9,31864,,,,,,,,,,,
HTML/CSS;JavaScript;Ruby;SQL;TypeScript,250000,23,31875,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,65000,10,31893,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python,125000,20,31894,,,,,,,,,,,
C#;Go;Java;SQL,105000,10,31896,,,,,,,,,,,
C;C#;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,200000,20,31899,,,,,,,,,,,
JavaScript;Python;SQL,250000,20,31912,,,,,,,,,,,
Bash/Shell (all shells);C#;Groovy;Java;JavaScript;Python;TypeScript,142000,16,31973,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell,170276,29,31979,,,,,,,,,,,
Bash/Shell (all shells);C#;Go;Groovy;HTML/CSS;Java;JavaScript;Perl;PHP;PowerShell;Python;R;SQL;TypeScript;VBA;Visual Basic (.Net),165000,30,31982,,,,,,,,,,,
C#;Java;Python,150000,15,31988,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,114000,9,31989,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;R;SQL,230000,16,32009,,,,,,,,,,,
C#;Go;JavaScript;Python;TypeScript,350000,22,32019,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,142475,14,32033,,,,,,,,,,,
JavaScript;Ruby,176000,16,32054,,,,,,,,,,,
Bash/Shell (all shells);C#;Java;Python;SQL,162000,26,32057,,,,,,,,,,,
Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Lua;Python;SQL;TypeScript,172000,13,32097,,,,,,,,,,,
JavaScript;Python;SQL;TypeScript,175000,20,32104,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Perl;PowerShell;Python;SQL,64000,5,32112,,,,,,,,,,,
Bash/Shell (all shells);C#;JavaScript;PowerShell;TypeScript,500000,7,32136,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Java;JavaScript;Lua;MATLAB;Python;Ruby;Rust;SQL,120000,12,32145,,,,,,,,,,,
HTML/CSS;Java;JavaScript;Python;Scala;SQL;TypeScript,210000,21,32213,,,,,,,,,,,
C;C++;Fortran;Go;HTML/CSS;JavaScript;Lua;Perl;Python,250000,30,32255,,,,,,,,,,,
Bash/Shell (all shells);Go;Java;Python;SQL;TypeScript,193000,23,32607,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,120000,20,32684,,,,,,,,,,,
C#;HTML/CSS;JavaScript;TypeScript,185000,13,32709,,,,,,,,,,,
HTML/CSS;JavaScript;TypeScript,66000,15,32742,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,150000,25,32841,,,,,,,,,,,
Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;Perl;PHP;Python;SQL,170000,23,32921,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,150000,21,32950,,,,,,,,,,,
Bash/Shell (all shells);Elixir;Erlang;HTML/CSS;JavaScript;Python;SQL,100000,21,33014,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,168000,26,33050,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;Scala,125000,11,33057,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C#;C++;Delphi;HTML/CSS;JavaScript;Lua;Perl;PHP;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),265000,28,33091,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;PHP;PowerShell;Python;SQL;TypeScript,39000,8,33206,,,,,,,,,,,
Go;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript;Zig,215000,28,33256,,,,,,,,,,,
HTML/CSS;JavaScript;Python;Rust;SQL;Zig,120000,15,33271,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;Swift;TypeScript,230000,13,33276,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),62000,16,33367,,,,,,,,,,,
Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Ruby,185000,12,33540,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;GDScript;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,125000,25,33586,,,,,,,,,,,
Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,300000,21,33608,,,,,,,,,,,
Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;Python;Rust,155000,27,33664,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Java;PowerShell;Python,120000,12,33740,,,,,,,,,,,
HTML/CSS;JavaScript;Python;R;Rust;SQL,90000,12,33839,,,,,,,,,,,
C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,120000,15,33893,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Go;Java;JavaScript;Lisp;Lua;Perl;PowerShell;Python;Ruby;Rust;SQL;TypeScript,170000,20,33918,,,,,,,,,,,
C#;JavaScript;SQL,141000,6,34000,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;Lua;PowerShell;SQL;TypeScript,102000,15,34007,,,,,,,,,,,
Go;HTML/CSS;JavaScript;Python;Ruby;TypeScript,156000,15,34011,,,,,,,,,,,
C;C#;C++;HTML/CSS;JavaScript;Lua;Perl;PHP;Python;SQL;TypeScript,265000,30,34047,,,,,,,,,,,
Go;Java;Python;Scala;SQL;TypeScript,230000,13,34050,,,,,,,,,,,
Bash/Shell (all shells);C;C#;Fortran;Groovy;HTML/CSS;Java;PowerShell;Python;R;SQL,162000,15,34064,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,190000,30,34090,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Python;SQL,325000,17,34091,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL;Swift;TypeScript,125000,8,34102,,,,,,,,,,,
C;HTML/CSS;JavaScript;Python;SQL;TypeScript,115000,4,34133,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript;VBA,130000,25,34169,,,,,,,,,,,
HTML/CSS;JavaScript;TypeScript,250000,20,34224,,,,,,,,,,,
C#;C++;HTML/CSS;JavaScript;Python;SQL,69000,24,34570,,,,,,,,,,,
C;C#;C++;JavaScript;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),77000,8,34577,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;Go;Java;Python;Rust,110000,12,34632,,,,,,,,,,,
HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,105000,26,34635,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C++;Fortran;HTML/CSS;Java;Python;Scala,78000,9,34685,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;Python;Rust,205000,12,34688,,,,,,,,,,,
Bash/Shell (all shells);C#;Elixir;JavaScript;SQL;TypeScript,105000,18,34719,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL;TypeScript,125000,20,34724,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,101000,8,34755,,,,,,,,,,,
Bash/Shell (all shells);C#;C++;Go;HTML/CSS;JavaScript;PHP;PowerShell;SQL;Visual Basic (.Net),90000,8,34757,,,,,,,,,,,
Bash/Shell (all shells);Java;SQL,174163,14,34758,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;PowerShell;SQL;Visual Basic (.Net),80000,12,34803,,,,,,,,,,,
C;C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript;VBA,112000,20,34819,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;SQL,135000,11,34821,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL,100000,13,34822,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript,110000,17,34828,,,,,,,,,,,
HTML/CSS;JavaScript;Python;SQL;TypeScript,178000,20,34832,,,,,,,,,,,
C#;COBOL;HTML/CSS;JavaScript;PHP;SQL;Visual Basic (.Net),52000,5,34849,,,,,,,,,,,
HTML/CSS;JavaScript;PHP;PowerShell;Python;Rust;SQL,128000,30,34902,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,160000,15,34923,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,168000,9,34935,,,,,,,,,,,
C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL,47000,25,34977,,,,,,,,,,,
Bash/Shell (all shells);C#;Go;JavaScript;PowerShell;SQL;TypeScript,160000,20,34984,,,,,,,,,,,
Bash/Shell (all shells);Dart;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL;Swift,225000,20,34992,,,,,,,,,,,
HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,108000,12,34993,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;Ruby;SQL;TypeScript,150000,15,35009,,,,,,,,,,,
HTML/CSS;JavaScript;Python;TypeScript,140000,10,35013,,,,,,,,,,,
C#;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript,85000,8,35017,,,,,,,,,,,
Bash/Shell (all shells);C;Dart;Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,130000,25,35027,,,,,,,,,,,
C#;Go;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,120000,10,35056,,,,,,,,,,,
C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript,120000,11,35059,,,,,,,,,,,
C#;HTML/CSS;JavaScript,80000,30,35071,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;R;TypeScript,254000,30,35092,,,,,,,,,,,
Go;JavaScript;Python;Rust;SQL;TypeScript,240000,12,35099,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Dart;JavaScript;Lua;Swift;TypeScript,195000,28,35111,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,240000,18,35159,,,,,,,,,,,
Go;HTML/CSS;Java;JavaScript;SQL,131000,15,35199,,,,,,,,,,,
Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Scala;SQL;TypeScript,280000,12,35205,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python,250000,14,35250,,,,,,,,,,,
HTML/CSS;JavaScript;TypeScript,250000,27,35253,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,115000,8,35258,,,,,,,,,,,
Elixir;Go;HTML/CSS;JavaScript;TypeScript,238000,11,35293,,,,,,,,,,,
Bash/Shell (all shells);Groovy;Java;JavaScript;Kotlin;Python,220000,27,35301,,,,,,,,,,,
Bash/Shell (all shells);Java;Python,290000,20,35319,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL,178000,23,35348,,,,,,,,,,,
Go;JavaScript;Python;SQL;TypeScript,185000,20,35352,,,,,,,,,,,
Bash/Shell (all shells);C#;C++;Go;Java;JavaScript;Kotlin;PHP;Python,240000,26,35375,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL;TypeScript,130000,9,35396,,,,,,,,,,,
Dart;HTML/CSS;JavaScript;TypeScript,235000,20,35401,,,,,,,,,,,
C#;C++;HTML/CSS;Java;JavaScript;Perl;PowerShell;SQL,148000,23,35411,,,,,,,,,,,
Ada;C;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript;Zig,150000,12,35440,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;SQL;TypeScript,162000,25,35454,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),130000,20,35466,,,,,,,,,,,
HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL,65000,10,35508,,,,,,,,,,,
JavaScript;R,170000,14,35527,,,,,,,,,,,
C;C++;Java;JavaScript;Kotlin;Swift,480000,25,35529,,,,,,,,,,,
Dart;HTML/CSS;Java;JavaScript;PowerShell;Python;Swift,100000,8,35531,,,,,,,,,,,
HTML/CSS;JavaScript;Python;SQL,105000,5,35539,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python,250000,25,35547,,,,,,,,,,,
GDScript;Java;Python,93864,9,35552,,,,,,,,,,,
HTML/CSS;JavaScript;Python;SQL;TypeScript,147000,11,35554,,,,,,,,,,,
HTML/CSS;JavaScript;Python;SQL,104000,8,35559,,,,,,,,,,,
Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Kotlin;Swift;TypeScript,150000,15,35565,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;PowerShell;Python;R;SQL;VBA,108000,10,35566,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,130000,9,35582,,,,,,,,,,,
C#;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),140000,20,35595,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,73000,14,35628,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;Python;SQL,175000,22,35646,,,,,,,,,,,
Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,108750,13,35648,,,,,,,,,,,
C#;HTML/CSS;JavaScript;MATLAB;PowerShell;Python;SQL;TypeScript,105000,12,35652,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Lua;Python;Rust;SQL;TypeScript;Gleam,152000,8,35654,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C#;C++;JavaScript;PowerShell;Python;Zig,136000,8,35658,,,,,,,,,,,
HTML/CSS;JavaScript;Swift;TypeScript,210000,17,35680,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Lua;PHP;Python,180000,30,35686,,,,,,,,,,,
HTML/CSS;Java;Kotlin,165000,20,35723,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;VBA,150000,8,35725,,,,,,,,,,,
HTML/CSS;JavaScript;Python;SQL;TypeScript,180000,15,35742,,,,,,,,,,,
HTML/CSS;JavaScript;Python;SQL,62000,23,35745,,,,,,,,,,,
Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,110000,14,35760,,,,,,,,,,,
Groovy;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,205000,12,35785,,,,,,,,,,,
Bash/Shell (all shells);C++;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,500000,16,35850,,,,,,,,,,,
Bash/Shell (all shells);C;GDScript;HTML/CSS;JavaScript;Python;R;SQL,40200,16,35967,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),180000,25,36052,,,,,,,,,,,
Bash/Shell (all shells);C;Dart;Go;Groovy;HTML/CSS;Java;JavaScript;Lua;Python;Rust;SQL;TypeScript,219000,22,36193,,,,,,,,,,,
Bash/Shell (all shells);GDScript;Go;HTML/CSS;JavaScript;Lua;Python;Ruby;SQL;TypeScript,130000,13,36207,,,,,,,,,,,
C;GDScript;Java;MATLAB;Python,130000,13,36231,,,,,,,,,,,
C#;JavaScript;Python,133000,25,36232,,,,,,,,,,,
C#;HTML/CSS;JavaScript;Kotlin;SQL;TypeScript,130000,18,36250,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Lisp;Lua;PHP;Python;SQL;TypeScript,147000,22,36269,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;VBA;Visual Basic (.Net),170000,22,36291,,,,,,,,,,,
C;C#;C++;HTML/CSS;Java;JavaScript;Lisp;MATLAB;PHP;PowerShell;Python;R;Scala;SQL;VBA;Visual Basic (.Net),140000,20,36292,,,,,,,,,,,
Bash/Shell (all shells);JavaScript;Python;Rust;TypeScript,167653,9,36300,,,,,,,,,,,
HTML/CSS;JavaScript;PHP;SQL,125000,18,36328,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,145000,30,36331,,,,,,,,,,,
Java;PowerShell;Python,43680,1,36334,,,,,,,,,,,
HTML/CSS;JavaScript;PowerShell;Python;SQL,120000,13,36341,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,95000,6,36402,,,,,,,,,,,
Elixir;Go;JavaScript;OCaml;Python,189000,8,36415,,,,,,,,,,,
Bash/Shell (all shells);Go;Java;Python,180000,16,36441,,,,,,,,,,,
Bash/Shell (all shells);C;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;Rust;SQL;TypeScript,80000,6,36457,,,,,,,,,,,
C#;HTML/CSS;Java;JavaScript;PowerShell;SQL,90000,22,36458,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript;VBA,86000,4,36459,,,,,,,,,,,
C#;Java;JavaScript;Python;Ruby;Rust;SQL;TypeScript,190000,14,36464,,,,,,,,,,,
Bash/Shell (all shells);Java;JavaScript;SQL;TypeScript,135000,16,36473,,,,,,,,,,,
C;C++;Java;JavaScript;Python,82000,6,36496,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,95000,20,36506,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,100114,18,36507,,,,,,,,,,,
HTML/CSS;JavaScript;Python;TypeScript,220000,12,36525,,,,,,,,,,,
HTML/CSS;Java;JavaScript;Python;SQL,105000,5,36526,,,,,,,,,,,
Bash/Shell (all shells);C#;Elixir;F#;JavaScript;OCaml;SQL;TypeScript,100000,14,36530,,,,,,,,,,,
JavaScript;Python;SQL,206910,12,36533,,,,,,,,,,,
C;JavaScript;Python;Rust;SQL;Visual Basic (.Net),35000,5,36540,,,,,,,,,,,
JavaScript;Python;SQL,179000,14,36552,,,,,,,,,,,
Go;JavaScript;Kotlin;Lua;PHP;Python;SQL,95000,10,36554,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;Rust;SQL;TypeScript;Zig,62000,16,36556,,,,,,,,,,,
Go;Java;Python,237000,19,36561,,,,,,,,,,,
Assembly;Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript;Zig,180000,10,36565,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;Visual Basic (.Net),145000,26,36573,,,,,,,,,,,
HTML/CSS;JavaScript;PHP;Python;SQL,115000,28,36574,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;Rust;SQL;Swift;TypeScript,110000,25,36575,,,,,,,,,,,
Bash/Shell (all shells);GDScript;HTML/CSS;JavaScript;TypeScript,195000,12,36585,,,,,,,,,,,
C;C++;HTML/CSS;JavaScript;Python;TypeScript,150000,26,36588,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;SQL,125000,30,36596,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,250000,14,36612,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,150000,18,36614,,,,,,,,,,,
C#;JavaScript;PowerShell;TypeScript,123000,12,36618,,,,,,,,,,,
Bash/Shell (all shells);Go;JavaScript;Python;Ruby;SQL,270000,20,36624,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;Python;TypeScript,260000,10,36627,,,,,,,,,,,
C;C#;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript;Zig,275000,22,36631,,,,,,,,,,,
Bash/Shell (all shells);C;GDScript;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,120000,30,36640,,,,,,,,,,,
GDScript;Go;JavaScript;PowerShell;Python;Rust;SQL,290000,15,36655,,,,,,,,,,,
Java;JavaScript;Kotlin;TypeScript,120000,8,36656,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;MicroPython;Python;Rust;TypeScript,70000,15,36683,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;SQL,100285,14,36687,,,,,,,,,,,
Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;TypeScript,121000,9,36690,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python,170000,21,36713,,,,,,,,,,,
C;C++;Go;HTML/CSS;JavaScript;SQL;TypeScript,365000,20,36718,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;Python;SQL;TypeScript,225000,20,36727,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;TypeScript,240000,24,36730,,,,,,,,,,,
Bash/Shell (all shells);C#;GDScript;Groovy;HTML/CSS;JavaScript;Kotlin;Lua;PHP;Python;Rust;SQL;TypeScript;Zig,100000,14,36744,,,,,,,,,,,
C++;HTML/CSS;JavaScript;Python;R,144000,16,36767,,,,,,,,,,,
Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript,200000,15,36774,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,350000,23,36800,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,230000,27,36826,,,,,,,,,,,
Bash/Shell (all shells);C#;Java;JavaScript;Kotlin;Python;SQL;TypeScript,220000,12,36856,,,,,,,,,,,
Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Ruby;SQL;TypeScript,70000,15,36942,,,,,,,,,,,
C#;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,135000,14,37131,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Ruby;Scala;SQL;TypeScript,250000,18,37148,,,,,,,,,,,
HTML/CSS;Java;JavaScript;SQL;TypeScript,165000,13,37191,,,,,,,,,,,
